program_id,program_name,document_format,expected_topics_count,expected_hours_theory,expected_hours_practice,expected_hours_total,expected_source_section,verified_at,notes
619196,Следопыт UPGRATE,doc,53,54,53,107,cell-wise-study-plan,2026-05-28,"Проверено после доработки разбора bare numeric row starts; третий год обучения включен."
728301,Мурманский край,docx,32,0,0,35,single-row-thematic-plan,2026-06-01,"Проверено после учета первой темы и сохранения диапазонов 5-6, 10-11, 12-13 одной строкой с двумя часами."
818033,Тактика пешеходного туризма,docx,18,12,96,108,title-first-cell-wise-study-plan,2026-06-02,"Проверено после восстановления детального учебного плана: 18 строк, включая итоговое занятие."
1062482,«Юные музееведы»,doc,14,29,39,68,title-first-cell-wise-study-plan,2026-05-28,"Проверено после доработки title-first cell-wise разбора; второй год обучения включен."
1064921,Музееведение,doc,15,51,77,128,textutil-delimited-study-plan,2026-05-28,"Проверено после добавления разбора textutil-таблиц .doc с пустыми ячейками; последняя тема включена."
1067842,"""Школьный музей""Через года о Мужестве,о доблести, о славе""",docx,34,0,0,34,,2026-06-02,"Проверено после исправления распознавания заголовков DOCX-таблиц; календарный график извлекает строки 1-34."
1069879, «ГОРОДСКОЙ ТУРИЗМ» детского оздоровительного лагеря,docx,4,4,6,10,DOCX table 3,2026-06-02,"Проверено после обновления набора docx-программ; структурированная таблица 3 извлекает 4 раздела."
1124460,Рябиновый край,doc,19,0,0,34,lesson-range-calendar,2026-05-28,"Проверено после доработки календарного плана с одиночными номерами уроков; уроки 1-34 включены."
1161268,Туристята-эколята,docx,35,0,0,70,Тема занятия,2026-06-02,"Проверено после выбора полного структурированного календарного графика вместо укрупненного учебного плана."
1161277,Экотуризм (3 ступень),docx,30,0,0,72,Тема занятия,2026-06-02,"Проверено после выбора полного структурированного календарного графика: строки 1-30 сохраняются отдельными темами."
1177953,"""Юный турист""2025",docx,7,90,54,144,cell-wise-study-plan,2026-06-02,"Проверено после сохранения пронумерованной строки промежуточной аттестации в учебно-тематическом плане."
1165807,"Школа экскурсовода",doc,8,30,42,72,vertical-study-plan,2026-05-28,"Проверено после добавления разбора вертикального учебного плана; диагностические задания из приложений больше не попадают как темы."
1201924,"Школа юного экскурсовода",doc,19,16,19,35,Введение.,2026-06-01,"Проверено после добавления разбора HTML-таблиц .doc с сохранением пустых ячеек; итоговая строка документа противоречит строкам таблицы."
1165402,ЮНЫЕ ТУРИСТЫ-ОРИЕНТИРОВЩИКИ,docx,7,54,162,216,title-first-cell-wise-study-plan,2026-06-02,"Проверено после выбора учебного плана с разделами и часами теория/практика вместо 108 строк календарного графика."
1202022,"""Спортивный туризм""",docx,36,48,157,204,Учебно-тематический план,2026-06-02,"Проверено после отсечения альтернативных структурированных учебно-тематических планов; сохраняется первая таблица УТП."
1217145,"""Путешествие по земле Кольской""",docx,216,0,0,432,Тема занятия,2026-06-02,"Проверено после выбора полного фрагментированного календарного учебного графика: 108 строк на первый год и 108 строк на второй год."
1223434,Юные туристы-краеведы (начальный уровень),doc,60,226,244,470,cell-wise-study-plan,2026-06-01,"Проверено после ограничения HTML-таблиц .doc, чтобы календарные и содержательные таблицы не раздували основной учебно-тематический план."
1229237,Медиа в туризме,docx,8,27,153,180,DOCX table 2,2026-06-02,"Проверено после исправления маппинга DOCX-таблицы; строки 6-7 сохраняют темы из столбца темы."
1239997,Первая помощь,doc,4,2,6,8,cell-wise-study-plan,2026-06-01,"Проверено после запрета распознавать десятичные часы 0,5 и 1,5 как начало новой темы."
1010467,"Школьный музей «ИСТОКИ»",pdf,33,60,84,144,section-topic-nested-hour-plan,2026-06-04,"Проверено после выбора вложенных пронумерованных строк учебного плана вместо 12 агрегированных разделов."
1050761,"""Юный турист""",pdf,14,10.5,23.5,34,tourist-camp-ocr-study-plan,2026-06-04,"Проверено после разбора OCR-таблицы учебно-тематического плана: строка 14 распознается из |4, итог 34 часа совпадает с документом."
1056028,ГИПЕРБОРЕЙСКИЙ РЮКЗАЧОК,pdf,24,,,24,monthly-section-thematic-plan,2026-06-04,"Проверено после извлечения помесячного учебно-тематического плана до блока информационно-методического обеспечения; 24 темы по 1 часу совпадают с ИТОГО 24."
1061349,Школьный музей,pdf,12,43,77,120,module-basic-study-plan,2026-06-04,"Проверено после извлечения двух модулей учебного плана, включая Самостоятельную работу; несогласованная строка II модуля Проектная деятельность сохраняется с hours_inconsistent."
1061563,"""Воспитать патриота""",pdf,105,0,0,121,calendar-study-schedule,2026-06-04,"Проверено после выбора модульного календарного учебного графика вместо укрупненного учебного плана; диапазоны модуля 3 сохранены отдельными строками."
1085730,Юный турист,pdf,108,0,0,216,Календарный учебный график на 2025/2026 учебный год,2026-06-04,"Проверено после извлечения детального календарного учебного графика: 108 строк по 2 часа вместо неполного total-only учебного плана."
1103556,"""Школьный музей""",pdf,34,0,0,34,Календарно-тематическое планирование,2026-06-04,"Проверено после выбора детального календарно-тематического планирования: 34 занятия по 1 часу вместо 10 агрегированных строк учебно-тематического плана."
1104648,На Севере жить - туристами быть!,pdf,54,112,324,436,yearly-basic-study-plan,2026-06-05,"Проверено после извлечения двух годовых учебно-тематических планов и OCR-разрыва 7.5; детальные строки первого года дают 220 часов при итоговой строке 216."
1160011,"""Тропой Памяти""",pdf,145,263,374,638,terminal-year-basic-study-plan,2026-06-05,"Проверено после выбора явного учебного плана второго года обучения; строки с датами 14 (27) мая, 1945-1980 и 1941-1945 не распознаются как часы."
1162721,Экознайка,pdf,8,5,5,10,compact-study-plan,2026-06-05,"Проверено после выбора табличного УЧЕБНЫЙ ПЛАН с колонкой Комбинированное занятие вместо текстового содержания; строка 7 не теряется как номер страницы."
1163294,Турист-краевед,pdf,26,60,228,288,ocr-split-header-study-plan,2026-06-05,"Проверено после извлечения двух OCR-разорванных учебно-тематических планов; строки без точки, оторванные часы 3/4, физподготовка и зачётные походы разобраны по табличным колонкам."
1164259,Музейные тайны,pdf,18,14,20,34,named-study-plan,2026-06-05,"Проверено после выбора таблицы Учебный план вместо Содержания программы; строки без нумерации, вводное занятие, Музейная экспозиция, Работа с аудиторией и поисковая экспедиция сохранены по табличным часам."
1185759,Белый медвежонок,pdf,43,27,51,78,course-content-topic-hour-plan,2026-06-05,"Проверено после выбора детальных тем из раздела Содержание курса обучения вместо шумного total-only учебного плана; исправлены обрывки заголовков, 5.2 без часов в заголовке, 6.6 с ошибочной практикой 1 час и итоговое занятие."
1186587,Юный экскурсовод,pdf,5,16,18,34,Учебный план реализации программы,2026-06-05,"Проверено после выбора строк разделов из таблицы Учебный план реализации программы вместо распределения часов по Темам 1-11 без явных часов."
1186588,Будущий экскурсовод,pdf,10,16,18,34,Учебный план реализации программы,2026-06-05,"Проверено после выбора строк разделов из двух таблиц Учебный план реализации программы вместо распределения часов по 27 подтемам без явных часов."
1191679,Школьный музей,pdf,5,24,44,68,basic-study-plan,2026-06-05,"Проверено после выбора таблицы УЧЕБНО-ТЕМАТИЧЕСКИЙ ПЛАН с порядком Практика/Теория/Всего вместо заголовков Разделов из Содержания программы; Вводное занятие сохранено отдельной строкой."
1203726,Алакуртти на карте,pdf,23,29,39,68,basic-study-plan,2026-06-06,"Проверено после восстановления строки 5.2, переноса хвостов форм контроля из названий тем и выделения раздела 5."
1203896,Путешествие по историческим местам Кольского района 2025,pdf,36,,,72,calendar-study-schedule,2026-06-06,"Проверено после выбора детального Календарно-учебного графика объединения вместо укрупненного учебного плана; 36 занятий по 2 часа."
1229255,Арктические маршруты,pdf,7,,,36,total-only-study-plan,2026-06-06,"Проверено после выбора укрупненного учебно-тематического плана вместо подробного Содержания программы с повторяющимися проектными занятиями."
1230755,АЗБУКА ТУРИСТСКОГО МАСТЕРСТВА,pdf,27,26,28,54,basic-study-plan,2026-06-06,"Проверено после сохранения финальной строки проверки практических навыков в алфавитном учебном плане; строка 27 в документе содержит 2 0 2 при итоговой строке 54 27 27."
1236249,Спортивное ориентирование,pdf,9,5,71,76,calendar-study-schedule,2026-06-06,"Проверено после выбора компактного календарного учебного графика с секциями Теория/Практика вместо смешанного учебного плана и содержания."
1236250,Спортивное ориентирование,pdf,9,5,71,76,calendar-study-schedule,2026-06-06,"Проверено после выбора компактного календарного учебного графика с секциями Теория/Практика вместо смешанного учебного плана и содержания."
1198511,Оздоровительно-познавательный туризм,pdf,107,119,583,702,multiline-thematic-plan,2026-06-05,"Проверено после раздельного извлечения трех годовых учебно-тематических планов; вложенные строки 7.1.1/7.1.2 сохранены, строки 8.2 с часами 6 6 не поглощают итоги разделов."
1198512,Туристское многоборье,pdf,133,224,424,648,basic-study-plan,2026-06-05,"Проверено после выбора полного трехлетнего учебного плана вместо terminal-year фрагмента 2-3 годов; восстановлены OCR-разрывы номеров .1.11, 4.1.1, 4.1.2 и 5.1."
